project_id,project_name
22,Versat ERP
102. Herramienta ETL para VersatERP
123, Zafra ERP
106, Backend Indicadores de SPCC
75, biversat
103, Sistema para el Control de Movimientos de Activos y Misceláneas
48, Geplus
104, Control de Flujo y Costos
68, versat-api
105, Labagri
121, Asistente Virtual
86, Comercializador
92, Versat Sarasola
36, CGR RAN
61, Cplus
107, Frontend Indicadores SPCC
114, Etranen
44, BIVersat
112, MCDAI - No conformidades e Incidencias
119, Hechos Extraordinarios Nuevo
85, SISDECOPLUS_BACKEND
113, Testing Documentation
81, CentroControl_Destileria
88, CentroControl_DiverLab
72,Centro de Control
77, DiverLab
35, Iplus
117, TICONS
111, Reportis
122, Zafra ERP
118, DocuEdu
100, PRECALI
115, Versat ERP en Yii1
84, Versat-Edu
108, tester-auto
110, Cplus_Nacion
96, HechosExtraordinarios2
101, Dataofic
19, Hechos Extraordinarios
97, FabCubaRon
53, Previo
83, Plan de Zafra
80, Conlab_Destileria
93, VstFabRon
89, Hechos extraordinario PLUS
94, CubaRon
91, Versathash
45, Industrial View
74, Versat210
40, Pesaje
43, Aplus
20, Cliente Hechos Extraordinarios
50, Centro De Control Bioelectrica
37, Comercializador
38, Cmi
42, Scpro
52, Consultor Provincial
51, CentroControl Provincial
54, Analab
55, Conlab
56, Cronos
57, CarpDir
47, Databeisbol Sp
46, Cpem
33, Base Legal Azcuba
31, Inspector Dashboard
18, Pradera
17, Alcona
16, Azuimport
15, Ficha Costo
14, Mantenimiento
13, Inventario
